"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"ADBL","2024-07-11","288.1","291.8","286","291","1.57 %","139,159.00"
"ADBL","2024-07-10","283","288","282","286.5","0.46 %","42,559.00"
"ADBL","2024-07-09","286.1","287.5","278","285.2","1.68 %","274,360.00"
"ADBL","2024-07-08","282","286.4","279.4","280.5","-0.21 %","49,865.00"
"ADBL","2024-07-07","271","283","271","281.1","3.00 %","106,759.00"
"ADBL","2024-07-04","270","275","267.1","272.9","0.70 %","86,098.00"
"ADBL","2024-07-03","272","274.9","262","271","-0.37 %","41,796.00"
"ADBL","2024-07-02","272.8","286.6","268.4","272","1.68 %","87,848.00"
"ADBL","2024-07-01","256","268","256","267.5","3.28 %","62,619.00"
"ADBL","2024-06-30","262","262.9","257.3","259","-0.77 %","17,310.00"
"ADBL","2024-06-27","260.1","265","260","261","-0.76 %","28,727.00"
"ADBL","2024-06-26","260.1","264","260","263","0.19 %","7,484.00"
"ADBL","2024-06-25","266","267","261","262.5","-0.94 %","22,605.00"
"ADBL","2024-06-24","265.2","286","257.1","265","1.92 %","41,247.00"
"ADBL","2024-06-23","258.1","287.1","258","260","-0.38 %","22,427.00"
"ADBL","2024-06-20","258","265","258","261","-0.76 %","14,554.00"
"ADBL","2024-06-19","266.7","266.7","261.1","263","0.57 %","8,129.00"
"ADBL","2024-06-18","267.9","267.9","261.5","261.5","-2.43 %","19,809.00"
"ADBL","2024-06-16","270","270","261.2","268","0.75 %","33,067.00"
"ADBL","2024-06-13","269","269","264.6","266","-1.12 %","17,533.00"
"ADBL","2024-06-12","263","282.9","259.6","269","3.86 %","35,200.00"
"ADBL","2024-06-11","259","261","254","259","1.97 %","26,904.00"
"ADBL","2024-06-10","260.1","260.1","249.9","254","-0.39 %","38,941.00"
"ADBL","2024-06-09","267.1","267.1","255","255","-2.63 %","30,419.00"
"ADBL","2024-06-06","268.5","268.5","260","261.9","-0.80 %","23,243.00"
"ADBL","2024-06-05","272.2","272.2","262.4","264","-1.09 %","16,572.00"
"ADBL","2024-06-04","267.2","267.2","258","266.9","1.87 %","39,795.00"
"ADBL","2024-06-03","270.3","270.3","261.2","262","-1.13 %","26,425.00"
"ADBL","2024-06-02","264.9","265.6","258.1","265","1.53 %","36,533.00"
"ADBL","2024-05-30","267","267.3","260","261","-3.33 %","30,737.00"
"ADBL","2024-05-29","282.5","292.9","267","270","-2.53 %","55,763.00"
"ADBL","2024-05-27","277.5","280","272","277","-0.18 %","63,787.00"
"ADBL","2024-05-26","285","285.6","276","277.5","-0.89 %","93,070.00"
"ADBL","2024-05-22","258","287.6","258","280","7.07 %","168,134.00"
"ADBL","2024-05-21","266.3","266.3","260.1","261.5","0.15 %","38,353.00"
"ADBL","2024-05-20","259","265.1","254","261.1","2.80 %","147,012.00"
"ADBL","2024-05-19","245.9","260.1","242","254","5.35 %","67,790.00"
"ADBL","2024-05-16","248.8","248.8","239","241.1","-1.19 %","24,081.00"
"ADBL","2024-05-15","241.1","247","240.1","244","-0.41 %","24,472.00"
"ADBL","2024-05-14","249.9","249.9","242.5","245","0.00 %","13,509.00"
"ADBL","2024-05-13","243.7","246","235","245","2.51 %","51,018.00"
"ADBL","2024-05-12","243.7","243.7","234.4","239","0.00 %","14,870.00"
"ADBL","2024-05-09","236.8","241.5","233.1","239","2.58 %","37,949.00"
"ADBL","2024-05-08","236.5","236.8","228","233","-1.73 %","7,893.00"
"ADBL","2024-05-07","235.1","237.9","235","237.1","0.68 %","20,390.00"
"ADBL","2024-05-06","239.8","240","235","235.5","-1.46 %","22,081.00"
"ADBL","2024-05-05","238","240","234.5","239","-0.83 %","22,003.00"
"ADBL","2024-05-02","244.8","244.8","238","241","0.42 %","68,990.00"
"ADBL","2024-04-30","240.9","240.9","235","240","1.61 %","35,982.00"
"ADBL","2024-04-29","240.2","240.2","232","236.2","0.30 %","25,653.00"
"ADBL","2024-04-28","228.1","250.9","226.1","235.5","2.39 %","30,349.00"
"ADBL","2024-04-25","229","232.9","227.5","230","0.22 %","13,249.00"
"ADBL","2024-04-24","230","231.9","228.1","229.5","0.04 %","18,242.00"
"ADBL","2024-04-22","234","235","229","229.4","-1.55 %","20,603.00"
"ADBL","2024-04-21","227.8","234","225","233","4.30 %","50,829.00"
"ADBL","2024-04-18","225","225","223","223.4","-0.09 %","8,650.00"
"ADBL","2024-04-16","225.1","226","223","223.6","-0.62 %","9,690.00"
"ADBL","2024-04-15","226","228","224.5","225","-0.49 %","11,054.00"
"ADBL","2024-04-14","225","229","224","226.1","-0.40 %","34,920.00"
"ADBL","2024-04-10","230","230","226.6","227","-0.22 %","16,651.00"
"ADBL","2024-04-09","228","230","226","227.5","-0.22 %","14,615.00"
"ADBL","2024-04-07","227","229","225.1","228","0.80 %","23,508.00"
"ADBL","2024-04-04","226.1","227.5","226","226.2","-1.65 %","16,873.00"
"ADBL","2024-04-03","230","230","226","230","0.88 %","27,641.00"
"ADBL","2024-04-02","232.5","232.5","225.3","228","0.00 %","14,167.00"
"ADBL","2024-04-01","228","230","225","228","-0.18 %","29,683.00"
"ADBL","2024-03-31","228","232","227.4","228.4","-0.70 %","12,071.00"
"ADBL","2024-03-28","234.7","234.7","228.4","230","-0.04 %","17,792.00"
"ADBL","2024-03-27","233.5","234.4","228.5","230.1","-1.46 %","35,243.00"
"ADBL","2024-03-26","234","235","231.2","233.5","0.00 %","24,395.00"
"ADBL","2024-03-25","235","235","230.3","233.5","-0.64 %","30,270.00"
"ADBL","2024-03-21","230.1","238","230","235","0.21 %","18,890.00"
"ADBL","2024-03-20","239","239","230.2","234.5","0.04 %","21,729.00"
"ADBL","2024-03-19","235","236","232","234.4","-0.26 %","24,816.00"
"ADBL","2024-03-18","239.7","239.7","234","235","0.00 %","21,615.00"
"ADBL","2024-03-17","233","235","230","235","0.64 %","26,682.00"
"ADBL","2024-03-14","236","236","231.4","233.5","-1.06 %","23,461.00"
"ADBL","2024-03-13","240","242","235","236","-1.54 %","14,493.00"
"ADBL","2024-03-12","235","239.7","231.2","239.7","3.77 %","34,642.00"
"ADBL","2024-03-10","232.6","236","228","231","1.27 %","12,089.00"
"ADBL","2024-03-07","229","229.9","226.1","228.1","-0.09 %","23,094.00"
"ADBL","2024-03-06","229.5","231","225.5","228.3","-0.52 %","22,025.00"
"ADBL","2024-03-05","242.1","242.1","228.6","229.5","-3.33 %","22,320.00"
"ADBL","2024-03-04","228","237.4","228","237.4","5.98 %","530.00"
"ADBL","2024-03-03","230","230","223","224","-0.80 %","14,194.00"
"ADBL","2024-02-29","227","228","225.1","225.8","-0.96 %","16,986.00"
"ADBL","2024-02-28","231","231","226.2","228","0.44 %","10,145.00"
"ADBL","2024-02-27","226.2","229.9","226","227","-0.44 %","15,986.00"
"ADBL","2024-02-26","228","230","225.1","228","0.40 %","14,222.00"
"ADBL","2024-02-25","230","230","227.1","227.1","-0.83 %","22,617.00"
"ADBL","2024-02-22","230","232","228.9","229","-0.56 %","15,542.00"
"ADBL","2024-02-21","233","234.4","229.3","230.3","0.13 %","11,891.00"
"ADBL","2024-02-20","230","234.5","230","230","-0.26 %","31,788.00"
"ADBL","2024-02-18","233","235.9","230","230.6","-2.58 %","48,129.00"
"ADBL","2024-02-15","230.1","236.7","230","236.7","1.59 %","42,526.00"
"ADBL","2024-02-14","232","235","230.1","233","0.73 %","19,694.00"
"ADBL","2024-02-13","238","238","231.3","231.3","-2.82 %","23,082.00"
"ADBL","2024-02-12","237.2","239","235.2","238","0.51 %","17,401.00"
"ADBL","2024-02-11","240","240","233.6","236.8","-2.15 %","42,535.00"
"ADBL","2024-02-08","239","242","239","242","0.41 %","19,510.00"
"ADBL","2024-02-07","245.5","245.5","239","241","0.12 %","22,381.00"
"ADBL","2024-02-06","244.9","244.9","240","240.7","-0.54 %","12,116.00"
"ADBL","2024-02-05","240","242.5","239","242","0.62 %","19,382.00"
"ADBL","2024-02-04","245","245","239.2","240.5","0.00 %","21,433.00"
"ADBL","2024-02-01","242","242.5","240.1","240.5","-1.11 %","18,935.00"
"ADBL","2024-01-31","245","247.4","243.2","243.2","-0.94 %","16,597.00"
"ADBL","2024-01-30","249.5","249.5","244.5","245.5","-0.41 %","17,528.00"
"ADBL","2024-01-29","249.5","249.5","245.1","246.5","0.61 %","22,283.00"
"ADBL","2024-01-28","245","248","244","245","-0.04 %","23,496.00"
"ADBL","2024-01-25","244.5","247","244.5","245.1","-0.16 %","35,252.00"
"ADBL","2024-01-24","245","247","242.3","245.5","0.12 %","25,650.00"
"ADBL","2024-01-23","242.1","246.9","242.1","245.2","0.49 %","21,982.00"
"ADBL","2024-01-22","243","248","243","244","0.04 %","45,887.00"
"ADBL","2024-01-21","247","248.2","243.4","243.9","-1.26 %","48,190.00"
"ADBL","2024-01-18","246","250","243.1","247","0.00 %","29,336.00"
"ADBL","2024-01-17","247.2","251","245","247","0.08 %","76,378.00"
"ADBL","2024-01-16","245.9","252","245","246.8","0.37 %","43,763.00"
"ADBL","2024-01-14","246.1","247","243.7","245.9","0.37 %","25,759.00"
"ADBL","2024-01-11","244.1","246.1","242.5","245","0.00 %","13,027.00"
"ADBL","2024-01-10","245","248","244","245","-0.04 %","31,999.00"
"ADBL","2024-01-09","248","248","243.1","245.1","0.57 %","29,582.00"
"ADBL","2024-01-08","248","248","241","243.7","0.12 %","15,763.00"
"ADBL","2024-01-07","245","246","241","243.4","-0.65 %","39,659.00"
"ADBL","2024-01-04","247","249.9","244","245","-0.77 %","30,433.00"
"ADBL","2024-01-03","248","248","243.1","246.9","-0.64 %","17,254.00"
"ADBL","2024-01-02","249","249","245","248.5","-0.16 %","34,706.00"
"ADBL","2024-01-01","251","251","246.2","248.9","0.77 %","33,313.00"
"ADBL","2023-12-28","249","249.9","245.3","247","-1.04 %","19,671.00"
"ADBL","2023-12-27","258.5","258.5","248.5","249.6","-1.54 %","15,367.00"
"ADBL","2023-12-24","259","260","253.1","253.5","-0.98 %","44,028.00"
"ADBL","2023-12-21","261","264","255.3","256","-2.03 %","39,429.00"
"ADBL","2023-12-20","256","267.2","256","261.3","0.11 %","57,332.00"
"ADBL","2023-12-19","250","262.2","250","261","3.98 %","62,432.00"
"ADBL","2023-12-18","250","255","247","251","1.01 %","44,779.00"
"ADBL","2023-12-17","243.1","249.8","243.1","248.5","0.20 %","25,584.00"
"ADBL","2023-12-14","242.6","249","242.6","248","0.53 %","13,670.00"
"ADBL","2023-12-13","250.3","251.5","246","246.7","0.53 %","31,055.00"
"ADBL","2023-12-12","246.2","252","242","245.4","-0.24 %","68,084.00"
"ADBL","2023-12-11","253.4","258","245","246","-1.01 %","36,977.00"
"ADBL","2023-12-10","243.7","248.5","243.7","248.5","3.97 %","60.00"
"ADBL","2023-12-07","236.1","240.5","236.1","239","1.27 %","16,898.00"
"ADBL","2023-12-06","240","240","235.1","236","-0.84 %","10,646.00"
"ADBL","2023-12-05","239.9","240","236","238","-0.83 %","10,287.00"
"ADBL","2023-12-04","236","243","236","240","0.42 %","7,552.00"
"ADBL","2023-12-03","236.6","242.9","236.6","239","0.00 %","14,293.00"
"ADBL","2023-11-30","240","241","238","239","-1.16 %","10,214.00"
"ADBL","2023-11-29","242","245","240.1","241.8","-0.08 %","9,876.00"
"ADBL","2023-11-28","245","245","240.2","242","-0.82 %","8,124.00"
"ADBL","2023-11-27","240","245.1","240","244","0.83 %","13,748.00"
"ADBL","2023-11-26","240.5","246","240.1","242","-1.22 %","15,023.00"
"ADBL","2023-11-23","245","269.5","240.2","245","0.00 %","6,824.00"
"ADBL","2023-11-22","238","245","238","245","2.51 %","8,661.00"
"ADBL","2023-11-21","239.6","239.9","235","239","-0.25 %","12,618.00"
"ADBL","2023-11-20","244","248.5","239.6","239.6","-1.80 %","13,280.00"
"ADBL","2023-11-09","241.6","245.9","241","244","-1.01 %","10,046.00"
"ADBL","2023-11-08","244","246.9","240.3","246.5","1.02 %","8,644.00"
"ADBL","2023-11-07","248.9","248.9","242","244","-0.41 %","28,233.00"
"ADBL","2023-11-06","240","253.2","236.1","245","1.70 %","36,331.00"
"ADBL","2023-11-05","244","244","236","240.9","-2.94 %","67,192.00"
"ADBL","2023-11-02","254","254","248","248.2","-1.12 %","14,152.00"
"ADBL","2023-11-01","250","251.7","248","251","-0.28 %","24,366.00"
"ADBL","2023-10-31","260","260","250","251.7","-1.29 %","12,366.00"
"ADBL","2023-10-30","253.5","255","251","255","0.00 %","33,815.00"
"ADBL","2023-10-29","259","259","253","255","-1.54 %","16,265.00"
"ADBL","2023-10-19","264","264","255.3","259","-0.38 %","9,050.00"
"ADBL","2023-10-18","252","270","251","260","3.59 %","23,077.00"
"ADBL","2023-10-17","252","253.9","249","251","1.21 %","8,118.00"
"ADBL","2023-10-16","250","250","246","248","-0.12 %","11,941.00"
"ADBL","2023-10-12","250","251.9","247.3","248.3","-0.80 %","28,503.00"
"ADBL","2023-10-11","250","255","248","250.3","-0.67 %","19,245.00"
"ADBL","2023-10-10","257","258","251.1","252","-0.40 %","9,470.00"
"ADBL","2023-10-09","252.5","254","251.1","253","-0.59 %","10,233.00"
"ADBL","2023-10-08","263","263.1","254.4","254.5","-1.36 %","28,146.00"
"ADBL","2023-10-05","263","263","256","258","-0.50 %","7,398.00"
"ADBL","2023-10-04","263","264.6","259","259.3","-0.95 %","8,133.00"
"ADBL","2023-10-03","257","262.9","257","261.8","0.58 %","35,324.00"
"ADBL","2023-10-02","257","262.1","256.2","260.3","0.54 %","40,811.00"
"ADBL","2023-10-01","259","263","257","258.9","-0.04 %","60,740.00"
"ADBL","2023-09-27","262","265","257.1","259","-0.38 %","30,760.00"
"ADBL","2023-09-26","264.5","264.5","258.9","260","-0.19 %","39,214.00"
"ADBL","2023-09-25","261","261.9","255.9","260.5","-0.19 %","10,018.00"
"ADBL","2023-09-24","267","267","260","261","-0.65 %","13,632.00"
"ADBL","2023-09-21","265","270","262.2","262.7","0.65 %","50,228.00"
"ADBL","2023-09-19","263.9","263.9","258","261","0.66 %","14,795.00"
"ADBL","2023-09-18","258","260.9","258","259.3","-0.23 %","24,190.00"
"ADBL","2023-09-17","269","269","259","259.9","-1.55 %","28,163.00"
"ADBL","2023-09-13","257","265.5","256","264","1.23 %","18,534.00"
"ADBL","2023-09-12","267.5","267.5","259.2","260.8","-1.17 %","9,532.00"
"ADBL","2023-09-11","259","264","255","263.9","3.53 %","21,840.00"
"ADBL","2023-09-10","256","256","252","254.9","1.55 %","12,819.00"
"ADBL","2023-09-07","252.2","253.9","250.6","251","-0.44 %","10,055.00"
"ADBL","2023-09-05","250","255","250","252.1","-0.75 %","16,605.00"
"ADBL","2023-09-04","258","258","252.1","254","-0.51 %","17,422.00"
"ADBL","2023-09-03","255","260","255","255.3","-1.24 %","33,984.00"
"ADBL","2023-08-30","261.9","262.9","258.2","258.5","0.58 %","18,400.00"
"ADBL","2023-08-29","256","260","255","257","-0.39 %","14,786.00"
"ADBL","2023-08-28","260","260","256","258","0.39 %","15,772.00"
"ADBL","2023-08-27","259","261","256.7","257","-1.19 %","16,373.00"
"ADBL","2023-08-24","261","264","260","260.1","-1.10 %","22,080.00"